# model_name: gpt-4
# embedding_model_name: 'openai:'
# generate_background: true
# task_started: '2023-09-01 12:27:50.222367'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_mondo
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_mondo_training
#   testing_set_collection: ont_mondo_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - definition
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	expected_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
XLinkedIntellectualDisabilityDueToGRIA3Anomalies	X-linked intellectual disability due to GRIA3 anomalies			[{'predicate': 'subClassOf', 'target': 'CongenitalNervousSystemDisorder'}, {'predicate': 'subClassOf', 'target': 'MultipleCongenitalAnomaliesDysmorphicSyndromeIntellectualDisability'}, {'predicate': 'subClassOf', 'target': 'XLinkedSyndromicIntellectualDisability'}]		MONDO:0018222	A neurological disorder characterized by structural abnormalities formed in utero leading to intellectual disability. It is passed on through an X chromosome and primarily affects the nervous system. This condition has material basis in mutation in the GRIA3 gene.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
SyndromicBiliaryAtresia	syndromic biliary atresia			[{'predicate': 'subClassOf', 'target': 'SyndromicDisease'}, {'predicate': 'subClassOf', 'target': 'BiliaryAtresia_MONDO:0008867'}]		MONDO:0034661	A specific type of Biliary Atresia characterized by the presence of a distinct clinical pattern due to abnormalities in the bile ducts, leading to a blockage of bile flow, causing liver damage and cirrhosis. It is associated with syndromic characteristics, indicating additional symptoms that affect multiple systems and areas in the body.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
LethalMultipleCongenitalAnomaliesDysmorphicSyndrome	lethal multiple congenital anomalies/dysmorphic syndrome			[{'predicate': 'subClassOf', 'target': 'MultipleCongenitalAnomaliesDysmorphicSyndrome'}]		MONDO:0018731	A subset of Multiple Congenital Anomalies Dysmorphic Syndrome characterized by severe malformations present in the body from birth that are potentially fatal. The nature and severity of the anomalies can vary widely and they usually lead to various degrees of disability and health problems. The prognosis can also vary significantly; some individuals may survive for prolonged periods while others may die prenatually or shortly after birth. The disorder is diagnosed based on the presence of multiple and atypical deformities and anomalies from a person's birth, coupled with a negative prognosis. Treatment is usually symptomatic and supportive.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
FatalInfantileHypertrophicCardiomyopathyDueToMitochondrialComplexIDeficiency	fatal infantile hypertrophic cardiomyopathy due to mitochondrial complex I deficiency			[{'predicate': 'subClassOf', 'target': 'HypertrophicCardiomyopathy'}]		MONDO:0017336	A subtype of hypertrophic cardiomyopathy that manifests in infants and is characterized by a rapid and severe enlargement of the heart muscle, leading to heart failure and death. Caused by a deficiency in mitochondrial complex I, and essential part of the mitochondria which results in decreased energy production and subsequent damage to organs and tissues, specifically the heart muscle in this case.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
InheritedSkinTumor	inherited skin tumor			[{'predicate': 'HasCharacteristic', 'target': 'Rare'}, {'predicate': 'subClassOf', 'target': 'SkinNeoplasm'}, {'predicate': 'subClassOf', 'target': 'HereditarySkinDisorder'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Neoplasm_MONDO:0005070'}, {'predicate': 'HasCharacteristic', 'target': 'Inherited'}, {'predicate': 'DiseaseHasLocation', 'target': 'ZoneOfSkin'}]	MONDO:0015950	A rare inherited neoplasm that involves the zone of skin and is a specific kind of skin cancer and hereditary skin disorder.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
LeukoencephalopathyWithVanishingWhiteMatter	leukoencephalopathy with vanishing white matter	A new leukoencephalopathy, the CACH syndrome (Childhood Ataxia with Central nervous system Hypomyelination) or VWM (Vanishing White Matter) was identified on clinical and MRI criteria. Classically, this disease is characterized by (1) an onset between 2 and 5 years of age, with a cerebello-spastic syndrome exacerbated by episodes of fever or head trauma leading to death after 5 to 10 years of disease evolution, (2) a diffuse involvement of the white matter on cerebral MRI with a CSF-like signal intensity (cavitation), (3) a recessive autosomal mode of inheritance, (4) neuropathologic findings consistent with a cavitating orthochromatic leukodystrophy with increased number of oligodendrocytes with sometimes ``foamy'' aspect.		[{'predicate': 'subClassOf', 'target': 'Leukodystrophy'}]		MONDO:0011380	A form of Leukodystrophy characterized by the progressive disappearance of the white matter in the brain.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
SynapticCongenitalMyasthenicSyndrome	synaptic congenital myasthenic syndrome			[{'predicate': 'subClassOf', 'target': 'CongenitalMyasthenicSyndrome'}]		MONDO:0020346		0.0	0.0	0.0	0.0	0.0	0	0	0	0
AutosomalRecessiveComplexSpasticParaplegia	autosomal recessive complex spastic paraplegia	Autosomal recessive form of complex hereditary spastic paraplegia.		[{'predicate': 'subClassOf', 'target': 'AutosomalRecessiveDisease'}, {'predicate': 'subClassOf', 'target': 'ComplexHereditarySpasticParaplegia'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'ComplexHereditarySpasticParaplegia'}, {'predicate': 'HasCharacteristic', 'target': 'AutosomalRecessiveInheritance'}]	MONDO:0015089	Autosomal recessive form of complex hereditary spastic paraplegia.	1.0	1.0	1.0	1.0	0.0	1	0	0	0
SyndromicCornealDystrophy	syndromic corneal dystrophy	A corneal dystrophy (disease) that is part of a larger syndrome.		[{'predicate': 'subClassOf', 'target': 'SyndromicDisease'}, {'predicate': 'subClassOf', 'target': 'CornealDystrophy'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CornealDystrophy'}, {'predicate': 'HasCharacteristic', 'target': 'HasASyndromicPresentation'}]	MONDO:0020215	A corneal dystrophy (disease) that has a syndromic presentation.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AutosomalRecessiveLymphoproliferativeDisease	autosomal recessive lymphoproliferative disease	A rare combined T and B cell immunodeficiency with a predisposition to lymphoproliferative syndrome. It is characterized by persistent symptomatic EBV-viremia and hypogammaglobulinemia variably presenting with fever, lymphadenopathy and systemic inflammatory conditions including hepatitis, pneumonia and sepsis. It may be associated with lymphoma, hemophagocytic lymphohistiocytosis, and aplastic anemia.		[{'predicate': 'subClassOf', 'target': 'LymphoproliferativeSyndrome'}]		MONDO:0016536	A lymphoproliferative disorder that is inherited in an autosomal recessive manner.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
