# model_name: gpt-4
# embedding_model_name: 'openai:'
# generate_background: true
# task_started: '2023-09-01 12:50:17.870220'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_mondo
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_mondo_training
#   testing_set_collection: ont_mondo_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - relationships
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	feature_definition	feature_aliases	expected_relationships	feature_logical_definition	masked_original_id	predicted_relationships	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
XLinkedIntellectualDisabilityDueToGRIA3Anomalies	X-linked intellectual disability due to GRIA3 anomalies			[{'predicate': 'subClassOf', 'target': 'CongenitalNervousSystemDisorder'}, {'predicate': 'subClassOf', 'target': 'MultipleCongenitalAnomaliesDysmorphicSyndromeIntellectualDisability'}, {'predicate': 'subClassOf', 'target': 'XLinkedSyndromicIntellectualDisability'}]		MONDO:0018222	[{'predicate': 'HasMaterialBasisInGermlineMutationIn', 'target': 'GRIA3'}, {'predicate': 'subClassOf', 'target': 'XLinkedIntellectualDisability'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	3
SyndromicBiliaryAtresia	syndromic biliary atresia			[{'predicate': 'subClassOf', 'target': 'SyndromicDisease'}, {'predicate': 'subClassOf', 'target': 'BiliaryAtresia_MONDO:0008867'}]		MONDO:0034661	[{'predicate': 'subClassOf', 'target': 'SyndromicDisease'}, {'predicate': 'DiseaseHasFeature', 'target': 'Jaundice'}, {'predicate': 'DiseaseHasFeature', 'target': 'CirrhosisOfLiver'}, {'predicate': 'DiseaseHasFeature', 'target': 'LiverFailure'}, {'predicate': 'AssociatedWith', 'target': 'CongenitalHeartDiseases'}, {'predicate': 'AssociatedWith', 'target': 'Polysplenia'}]	0.16666666666666666	0.5	0.25	0.14285714285714285	0.0	1	0	5	1
LethalMultipleCongenitalAnomaliesDysmorphicSyndrome	lethal multiple congenital anomalies/dysmorphic syndrome			[{'predicate': 'subClassOf', 'target': 'MultipleCongenitalAnomaliesDysmorphicSyndrome'}]		MONDO:0018731	[{'predicate': 'subClassOf', 'target': 'MultipleCongenitalAnomaliesSyndrome'}, {'predicate': 'subClassOf', 'target': 'DysmorphicSyndrome'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
FatalInfantileHypertrophicCardiomyopathyDueToMitochondrialComplexIDeficiency	fatal infantile hypertrophic cardiomyopathy due to mitochondrial complex I deficiency			[{'predicate': 'subClassOf', 'target': 'HypertrophicCardiomyopathy'}]		MONDO:0017336	[{'predicate': 'DiseaseHasBasisInDysfunctionOf', 'target': 'MitochondrialRespiratoryChainComplexI'}, {'predicate': 'subClassOf', 'target': 'FamilialHypertrophicCardiomyopathy'}, {'predicate': 'subClassOf', 'target': 'MitochondrialComplexDeficiency'}, {'predicate': 'subClassOf', 'target': 'MitochondrialGeneticDisease'}]	0.0	0.0	0.0	0.0	0.0	0	0	4	1
InheritedSkinTumor	inherited skin tumor			[{'predicate': 'HasCharacteristic', 'target': 'Rare'}, {'predicate': 'subClassOf', 'target': 'SkinNeoplasm'}, {'predicate': 'subClassOf', 'target': 'HereditarySkinDisorder'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Neoplasm_MONDO:0005070'}, {'predicate': 'HasCharacteristic', 'target': 'Inherited'}, {'predicate': 'DiseaseHasLocation', 'target': 'ZoneOfSkin'}]	MONDO:0015950	[{'predicate': 'subClassOf', 'target': 'Neoplasm_MONDO:0005070'}, {'predicate': 'HasCharacteristic', 'target': 'Inherited'}, {'predicate': 'DiseaseHasLocation', 'target': 'ZoneOfSkin'}]	0.0	0.0	0.0	0.0	0.0	0	0	3	3
LeukoencephalopathyWithVanishingWhiteMatter	leukoencephalopathy with vanishing white matter	A new leukoencephalopathy, the CACH syndrome (Childhood Ataxia with Central nervous system Hypomyelination) or VWM (Vanishing White Matter) was identified on clinical and MRI criteria. Classically, this disease is characterized by (1) an onset between 2 and 5 years of age, with a cerebello-spastic syndrome exacerbated by episodes of fever or head trauma leading to death after 5 to 10 years of disease evolution, (2) a diffuse involvement of the white matter on cerebral MRI with a CSF-like signal intensity (cavitation), (3) a recessive autosomal mode of inheritance, (4) neuropathologic findings consistent with a cavitating orthochromatic leukodystrophy with increased number of oligodendrocytes with sometimes ``foamy'' aspect.		[{'predicate': 'subClassOf', 'target': 'Leukodystrophy'}]		MONDO:0011380	[{'predicate': 'subClassOf', 'target': 'Leukodystrophy'}, {'predicate': 'subClassOf', 'target': 'ChildhoodOnsetDisorder'}, {'predicate': 'subClassOf', 'target': 'RareGeneticDisease'}]	0.3333333333333333	1.0	0.5	0.3333333333333333	0.0	1	0	2	0
SynapticCongenitalMyasthenicSyndrome	synaptic congenital myasthenic syndrome			[{'predicate': 'subClassOf', 'target': 'CongenitalMyasthenicSyndrome'}]		MONDO:0020346	[{'predicate': 'subClassOf', 'target': 'CongenitalMyasthenicSyndrome'}, {'predicate': 'subClassOf', 'target': 'CongenitalNervousSystemDisorder'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
AutosomalRecessiveComplexSpasticParaplegia	autosomal recessive complex spastic paraplegia	Autosomal recessive form of complex hereditary spastic paraplegia.		[{'predicate': 'subClassOf', 'target': 'AutosomalRecessiveDisease'}, {'predicate': 'subClassOf', 'target': 'ComplexHereditarySpasticParaplegia'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'ComplexHereditarySpasticParaplegia'}, {'predicate': 'HasCharacteristic', 'target': 'AutosomalRecessiveInheritance'}]	MONDO:0015089	[{'predicate': 'subClassOf', 'target': 'AutosomalRecessiveDisease'}, {'predicate': 'subClassOf', 'target': 'ComplexHereditarySpasticParaplegia'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
SyndromicCornealDystrophy	syndromic corneal dystrophy	A corneal dystrophy (disease) that is part of a larger syndrome.		[{'predicate': 'subClassOf', 'target': 'SyndromicDisease'}, {'predicate': 'subClassOf', 'target': 'CornealDystrophy'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CornealDystrophy'}, {'predicate': 'HasCharacteristic', 'target': 'HasASyndromicPresentation'}]	MONDO:0020215	[{'predicate': 'subClassOf', 'target': 'CornealDystrophy'}, {'predicate': 'HasCharacteristic', 'target': 'HasASyndromicPresentation'}]	0.5	0.5	0.5	0.3333333333333333	0.0	1	0	1	1
AutosomalRecessiveLymphoproliferativeDisease	autosomal recessive lymphoproliferative disease	A rare combined T and B cell immunodeficiency with a predisposition to lymphoproliferative syndrome. It is characterized by persistent symptomatic EBV-viremia and hypogammaglobulinemia variably presenting with fever, lymphadenopathy and systemic inflammatory conditions including hepatitis, pneumonia and sepsis. It may be associated with lymphoma, hemophagocytic lymphohistiocytosis, and aplastic anemia.		[{'predicate': 'subClassOf', 'target': 'LymphoproliferativeSyndrome'}]		MONDO:0016536	[{'predicate': 'subClassOf', 'target': 'CombinedTAndBCellImmunodeficiency'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
